S.NO.,TEST CODE,INVESTIGETATION,SAMPLE TYPE,TEMPERATURE,SPECIAL INSTRUCTION FOR SAMPLE COLLECTION,METHOD,CUT OFF TIME,REPORTED ON,NET,MRP,NET % OF MRP
355,S229,DENGUE NS1(Qualitative),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Prices are applicable as per Gov. Norms,Immunochrom atography,4.30 PM,Same Day,350,850,41.2%
356,H026,DIFFERENTIAL LEUCOCYTE COUNT (DLC),"3 ml.(2 ml. Minimum) Whole blood in 1
EDTA (Lavender Top) tube and 2 unstained peripheral blood smears, air dried & sent in a slide mailer",Refrigerated(2-8°C),Do Not Freeze,"Microscopy/
VCS
Technology Microscopy",5.30 PM,Same Day,70,180,38.9%
357,C087,DIGOXIN Level,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)/Immuno",4.30 PM,Next day Evening Except Sunday,350,950,36.8%
358,H109,DNA PLOIDY & S PHASE - LEUKEMIA,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Brief clinical history mandatory,Real Time PCR/Flow Cytometry,4.30 PM,3rd Working Day,1850,2850,64.9%
359,A075,DNA PLOIDY & S PHASE - SOLID TUMORS,BIOPSY,FORMALIN/ETHANO L- FIXATIVE,Brief clinical history mandatory,HPE,,,1850,2850,64.9%
360,C500,DRUG OF ABUSE (QUALITATIVE)- 10 DRUGS,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do not use preservatives,"Double
Indicators Test Refractometric Lateral Flow",5.30 PM,Same Day,2850,4850,58.8%
361,C218,DRUG OF ABUSE (QUALITATIVE)- 6 DRUGS,"10 ml.(5 ml. Minimum)Aliquot of Morning’s Ist voided Midstream Urine in a sterile,
screw capped container",Refrigerated(2-8°C),Do Not Freeze,"Lateral Flow
Immuno Chromatograp hy",5.30 PM,Same Day,850,1800,47.2%
362,H556,ECHINOCOCCUS (HYDATIC CYST) DETECTION,2ml. (1 ml. Minimum) FLUID.,Refrigerated(2-8°C),Do Not Freeze,Microscopy,4.30 PM,Next day Evening Except Sunday,400,850,47.1%
363,S097,"ECHINOCOCCUS ANTIBODY, IGG (HYDATID SEROLOGY)",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,750,1850,40.5%
364,C208,EGFR (ESTIMATED GLOMERULAR FILTRATION RATE),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Spectrophotom
etry Spectro-photometry Spectrophotom",5.30 PM,Same Day,250,600,41.7%
365,C1312,ELECTROLYTE PLUS PROFILE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Ion Selective
Electrode Spectrophotom etry",5.30 PM,Same Day,400,950,42.1%
366,S086,ENDOMYSIAL ANTIBODY IGA IFA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"IFA
(Immunofluore scenceAssay)",4.30 PM,Next day Evening Except Sunday,800,1650,48.5%
367,S089,"ENTAMOEBA HISTOLYTICA (AMEBIASIS), ANTIBODY, IGG",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,750,1850,40.5%
368,H007,ENTAMOEBA HISTOLYTICA DETECTION,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,450,1050,42.9%
369,P199,EPSTEIN BAR VIRUS(EBV) DNA QUALITATIVE TEST BY REAL TIME PCR,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,3rd Working Day,2450,3850,63.6%
370,S094,EPSTEIN BARR VIRUS IGG (VIRAL CAPSID AG) - INFECTION,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1150,2250,51.1%
371,S095,EPSTEIN BARR VIRUS IGM ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1150,2250,51.1%
372,H027,ERYTHROCYTE COUNT (RBC COUNT),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Do Not Freeze,Cell Counter,5.30 PM,Same Day,70,180,38.9%
373,H028,ERYTHROCYTE SEDIMENTATION RATE (ESR),3 ml.(2 ml. Minimum) Fasting  Whole blood in 1 EDTA (Lavender Top),Refrigerated(2-8°C),Do Not Freeze,"Westergren
Flocculation Turbidimetric Immunoassay",5.30 PM,Same Day,35,100,35.0%
374,H093,ERYTHROID CELL MARKER : CD 71,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
375,H098,ERYTHROID CELL MARKER : GLYCOPHORIN A,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
376,C088,ERYTHROPOIETIN (EPO),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,900,1950,46.2%
377,C089,ESTRADIOL (E2),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Electrochemilu minescence,5.30 PM,Same Day,200,600,33.3%
378,C090,"ESTRIOL, UNCONJUGATED (E3)",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,500,1250,40.0%
379,P087,FACTOR II (PROTHROMBIN) MUTATION DETECTION,"4 ml. (3 ml. Minimum) PPP (Platelet Poor Plasma) from 2 Sodium Citrate tubes
prepared within 1 hr of","FROZEN  (-20°C) in
dry ice.",,Real Time PCR,4.30 PM,2nd Working Day,3850,6500,59.2%
380,H057,FACTOR V,"4 ml. (3 ml. Minimum) PPP (Platelet Poor Plasma) from 2 Sodium Citrate tubes
prepared within 1 hr of","FROZEN  (-20°C) in
dry ice.","Preparation of PPP : 12 -14
Hrs. (Overnight) fasting is preferred. Centrifuge the blood sample at 3000rpm for",Triggered Coagulation & Clot Detection,4.30 PM,2nd Working Day,1650,2850,57.9%
381,P031,FACTOR V LEIDEN MUTATION - HAEMATOLOGY (COAGULATION),"4 ml. (3 ml. Minimum) PPP (Platelet Poor Plasma) from 2 Sodium Citrate tubes
prepared within 1 hr of","FROZEN  (-20°C) in
dry ice.",,Real Time PCR,4.30 PM,3rd Working Day,3850,6500,59.2%
382,H117,FACTOR VII,"4 ml. (3 ml. Minimum) PPP (Platelet Poor Plasma) from 2 Sodium Citrate tubes
prepared within 1 hr of","FROZEN  (-20°C) in
dry ice.","Preparation of PPP :12 -14 Hrs. (Overnight)fasting is preferred.
Centrifuge the bloodsample",Photo -Optical,4.30 PM,Next day Evening Except Sunday,2450,3550,69.0%
383,H192,FACTOR X,"4 ml. (3 ml. Minimum) PPP (Platelet Poor Plasma) from 2 Sodium Citrate tubes
prepared within 1 hr of","FROZEN  (-20°C) in
dry ice.","Preparation of PPP : 12 -14
Hrs. (Overnight) fasting is preferred. Centrifuge the blood sample at 3000rpm for",Electromechani cal Clot Detection,4.30 PM,2nd Working Day,3850,6500,59.2%
384,H545,"FACTOR XI, FUNCTIONAL","4 ml. (3 ml. Minimum) PPP (Platelet Poor Plasma) from 2 Sodium Citrate tubes
prepared within 1 hr of","FROZEN  (-20°C) in
dry ice.","Preparation of PPP : 12 -14
Hrs. (Overnight) fasting is preferred. Centrifuge the blood sample at 3000rpm for",Triggered Coagulation & Clot Detection,4.30 PM,2nd Working Day,1650,2850,57.9%
385,H041,FACTOR XIII,"4 ml. (3 ml. Minimum) PPP (Platelet Poor Plasma) from 2 Sodium Citrate tubes
prepared within 1 hr of","FROZEN  (-20°C) in
dry ice.","Preparation of PPP : 12 -14
Hrs. (Overnight) fasting is preferred. Centrifuge the blood sample at 3000rpm for",Triggered Coagulation & Clot Detection,4.30 PM,2nd Working Day,1250,2450,51.0%
386,H029,FACTOR-IX (Haemophilia B),"4 ml. (3 ml. Minimum) PPP (Platelet Poor Plasma) from 2 Sodium Citrate tubes
prepared within 1 hr of","FROZEN  (-20°C) in
dry ice.","Preparation of PPP : 12 -14
Hrs. (Overnight) fasting is preferred. Centrifuge the blood sample at 3000rpm for",Triggered Coagulation & Clot Detection,4.30 PM,2nd Working Day,1250,2450,51.0%
387,H030,FACTOR-VIII (Haemophilia A),"4 ml. (3 ml. Minimum) PPP (Platelet Poor Plasma) from 2 Sodium Citrate tubes
prepared within 1 hr of","FROZEN  (-20°C) in
dry ice.","Preparation of PPP : 12 -14
Hrs. (Overnight) fasting is preferred. Centrifuge the blood sample at 3000rpm for",Triggered Coagulation & Clot Detection,4.30 PM,2nd Working Day,1250,2450,51.0%
388,C091,FERRITIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc enceMicroparti cle
Immunoassay(",5.30 PM,Same Day,300,600,50.0%
389,H032,FIBRINOGEN,2ml. (1 ml. Minimum) Plasma in 1 Sodium Citrate (Light Blue Top) tube.,Refrigerated(2-8°C),,Triggered Coagulation & Clot Detection,4.30 PM,Next day Evening Except Sunday,600,1250,48.0%
390,H031,FIBRINOGEN DEGRADATION PRODUCT (FDP),"4 ml. (3 ml. Minimum) PPP (Platelet Poor Plasma) from 2 Sodium Citrate tubes
prepared within 1 hr of","Local samples: 2-8° C to reach lab in 3 hours. Outstation
samples:(-20°C)","Preparation of PPP :
Centrifuge the blood sample at 3000rpm for 15 minutes within 1 hr. of collection to",Latex Agglutination,4.30 PM,Next day Evening Except Sunday,600,1550,38.7%
391,P081,FIP1L1 - PDGFRA GENE REARRANGEMENT,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,5th Working Day,4850,7250,66.9%
392,C096,FLUID ANALYSIS,2ml. (1 ml. Minimum) FLUID.,Refrigerated(2-8°C),,"Peroxidase
Reaction Spectrophotom etry",5.30 PM,Same Day,175,400,43.8%
393,C092,FLUID ANALYSIS - CSF,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),Brief clinical history mandatory,Spectrophotom etry Microscopy,4.30 PM,Same Day,175,400,43.8%
394,C336,FLUID BIOCHEMISTRY,2ml. (1 ml. Minimum) FLUID.,Refrigerated(2-8°C),,Spectrophotom etry,4.30 PM,Same Day,175,400,43.8%
395,H058,FLUID CELL COUNT,2ml. (1 ml. Minimum) FLUID.,Refrigerated(2-8°C),,"Coulter
Principle (Impedance) Microscopy/",4.30 PM,Same Day,60,150,40.0%
396,C203,FLUID PROTEINS,2ml. (1 ml. Minimum) FLUID.,Refrigerated(2-8°C),,Biuret Method,4.30 PM,Same Day,100,230,43.5%
397,S106,FLUORESCENT TREPONEMAL ANTIBODY ABSORPTION (FTA-AB),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,ELISA/IFA,4.30 PM,Next day Evening Except Sunday,1550,3450,44.9%
398,A002,FNAC (FINE NEEDLE ASPIRATION) - CYTOLOGY,"Submit cytopathological slides previously
reported upon (prepared from Aspirate material from Breast/Superficial lumps/ CT or USG guided deep lumps, smeared on 4",AMBIENT (18-25° C),Brief clinical history mandatory,"Microscopy of
Papanicoloau/ MGG stained smears",4.30 PM,Next day Evening Except Sunday,225,575,39.1%
399,C097,FOLIC ACID,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Wrap tubes in aluminium foil to protect from light. Record PCV on test
requisition form","Chemiluminesc enceMicroparti cle
Immunoassay(",5.30 PM,Same Day,400,850,47.1%
400,H107,FOLLICULAR LYMPHOMA MARKER : BCL - 2,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
401,C1324,FOOD INTOLERANCE TEST,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,3rd Working Day,9500,15500,61.3%
402,C1287,FREE BETA HCG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Specify age and sex ontest requisition form.,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,350,800,43.8%
403,C277,FREE LIGHT CHAIN ASSAY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Nephelometry,4.30 PM,3rd Working Day,3350,5850,57.3%
404,C240,FREE PSA/TOTAL PSA RATIO,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Calculeted/Che
miluminescenc eImmunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,750,1550,48.4%
405,C007,FRUCTOSAMINE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Specify age and sex ontest requisition form.,Spectrophoton etry,4.30 PM,3rd Working Day,650,1250,52.0%
406,C098,FSH (FOLLICLE STIMULATING HORMONE),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Electrochemilu minescence,5.30 PM,Same Day,115,450,25.6%
407,M027,FUNGAL CULTURE,Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional fungal culture and sensitivity,5.30 PM,14th Working Day,490,850,57.6%
408,A057-F,FUNGAL STAIN,SLIDE/BLOCK/TISSUE,FORMALIN/ETHANO L- FIXATIVE,Brief clinical history mandatory,Microscopy,4.30 PM,2nd Working Day,425,850,50.0%
409,M036,FUNGAL STAIN,Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Light Microscopy,5.30 PM,Next day Evening Except Sunday,115,250,46.0%
410,S246,GALACTOMANNAN(ASPERGILLUS ANTIGEN),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1250,2550,49.0%
411,C099,GAMMA GLUTAMYL TRANSFERASE (GGT),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"L-Gamma-
glutamyl-3-carboxy-4-nitroanilide",5.30 PM,Same Day,100,230,43.5%
412,C225,GASTRIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1150,2250,51.1%
413,A057-B,GIEMSA STAIN,SLIDE/BLOCK/TISSUE,FORMALIN/ETHANO L- FIXATIVE,Brief clinical history mandatory,Microscopy,4.30 PM,2nd Working Day,425,850,50.0%
414,M028,GIEMSA STAIN,Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Light Microscopy,5.30 PM,Same Day,115,250,46.0%
415,S098,GLIADIN ANTIBODY IGA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
416,S130,GLIADIN ANTIBODY IGG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
417,C100,GLOBULIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Calculated Value,5.30 PM,Same Day,70,180,38.9%
418,S101,GLOMERULAR BASEMENT MEMBRANE ANTIBODY IGG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,1150,2250,51.1%
419,C106,GLUCOSE 6 PHOSPHATE DEHYDROGENASE (G6PD QUANTITATIVE),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Spectrophoton etry,5.30 PM,Same Day,375,950,39.5%
420,C257,GLUCOSE CHALLENGE TEST (GCT),"2 ml. (1 ml. Minimum) Plasma from 1 Sodium Fluoride
(Grey top) tube drawn 1 hour
af ter oral administration of",Refrigerated(2-8°C),Does not include fasting blood glucose specimen.,Hexokinase,5.30 PM,Same Day,35,100,35.0%
421,C261,GLUTAMIC ACID DECORBYLASE (GAD-65),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme Immunoassay (EIA),4.30 PM,Next day Evening Except Sunday,4050,7800,51.9%
422,C641,GLYCOPHORIN A,2ml whole blood /Bone Marrow in Sod. Heparin tubes.,AMBIENT (18-25° C),"Do Not Freeze. Pleases specify-Date and time of sample withdrawn;
Detailed clinical history;",Flow Cytometry,4.30 PM,Next day Evening Except Sunday,1600,2550,62.7%
423,A057-G,GRAMS STAIN,SLIDE/BLOCK/TISSUE,FORMALIN/ETHANO L- FIXATIVE,Brief clinical history mandatory,Microscopy,4.30 PM,2nd Working Day,425,850,50.0%
424,M029,GRAMS STAIN,Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Light Microscopy,5.30 PM,Same Day,115,250,46.0%
425,C108,GROWTH HORMONE (GH),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,400,850,47.1%
426,P083,HAEMOCHROMATOSIS / HFE -   (2 MUTATIONS),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,5th Working Day,3450,5850,59.0%
427,C300,HAEMOGLOBIN - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Strip test,4.30 PM,Next day Evening Except Sunday,175,450,38.9%
428,H060,HAEMOGLOBIN ELECTROPHORESIS (HPLC),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,"Sulpholyser
Haemoglobin Detection Method Cell",5.30 PM,Same Day,350,850,41.2%
429,H554,HAEMOGRAM (CBC+ESR),"3 ml.(2 ml. Minimum) Whole blood in 1
EDTA (Lavender Top) tube and 2 unstained peripheral blood smears, air dried & sent in a slide mailer",Refrigerated(2-8°C),Do Not Freeze,"Sulpholyser
Haemoglobin Detection Method Cell",5.30 PM,Same Day,130,350,37.1%
430,H083,HAIRY CELL / NHL DIFFERENTIATION MARKER : CD 25,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
431,H094,HAIRY CELL MARKER : CD 103,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry-BD FACSC Calibur,4.30 PM,2nd Working Day,1050,1550,67.7%
432,M040,HANGING DROP FOR V.CHOLERAE,"5ml (3ml. Minimum) Stool in a leak-proof, plastic, screw capped container. Do not use match box or absorbant material",AMBIENT (18-25° C),Send Sample In Sterile Container,Hanging Drop & Light Microscopy,5.30 PM,Same Day,115,250,46.0%
433,C109,HAPTOGLOBIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Immunoturbidi metry,4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
434,C107,HBA1C,3 ml. (1 ml. Minimum) Whole Blood in 1 EDTA (Lavender top) tube.,Refrigerated(2-8°C),Do Not Freeze,HPLC,5.30 PM,Same Day,230,550,41.8%
435,S236,HbsAg (Australian Antigen) - Qualitative,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Chromatograp hy,5.30 PM,Same Day,175,450,38.9%
436,C319,HbsAG (AUSTRALIAN ANTIGEN) by CLIA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,230,550,41.8%
437,S235,HCV Antibody - Qualiative,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Chromatograp hy,5.30 PM,Same Day,300,700,42.9%
438,P020,HDV RNA QUANTITATIVE - VIRAL LOAD,"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,3rd Working Day,4850,7000,69.3%
439,S244,HELICOBACTER PYLORI ANTIGEN,"5ml (3ml. Minimum) Stool in a leak-proof, plastic, screw capped container. Do not use match box or absorbant material",AMBIENT (18-25° C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,700,1550,45.2%
440,S136,HELICOBACTER PYLORI IGA ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,800,1850,43.2%
441,S074,HELICOBACTER PYLORI IGG ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,800,1850,43.2%
442,S073,HELICOBACTER PYLORI IGM ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Specify age and sex ontest requisition form.,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,800,1850,43.2%
443,H033,HEMOGLOBIN (HB),"3 ml.(2 ml. Minimum) Whole blood in 1
EDTA (Lavender Top) tube and 2 unstained peripheral blood smears, air dried & sent in a slide maile",Refrigerated(2-8°C),Do Not Freeze,"Sulpholyser
Haemoglobin Detection Method Cell",5.30 PM,Same Day,50,100,50.0%
444,H006,HEMOSIDERIN - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Pearls Prussian Blue,4.30 PM,Next day Evening Except Sunday,350,650,53.8%
445,S033,HEPATITIS A VIRUS (HAV IgG),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,450,950,47.4%
446,S032,HEPATITIS A VIRUS (HAV IgM),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,450,950,47.4%
447,S034,HEPATITIS B ENVELOPE ANTIBODY (Anti HBe),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,350,850,41.2%
448,S035,HEPATITIS B ENVELOPE ANTIGEN (HBeAg),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,350,850,41.2%
449,S036,"HEPATITIS B SURFACE ANTIBODY TOTAL
(Anti Hbs)",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,350,850,41.2%
450,S037,"HEPATITIS B SURFACE ANTIGEN
(Australian Antigen) - HBsAg",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,200,500,40.0%
451,P001,HEPATITIS B VIRUS - VIRAL LOAD (QUANTITATIVE),"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,2nd Working Day,2400,5500,43.6%
452,P002,HEPATITIS B VIRUS DNA (QUALITATIVE),"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,2nd Working Day,1450,2850,50.9%
453,S038,HEPATITIS C ANTIBODY (HCV Antibody),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,300,850,35.3%
454,P019,HEPATITIS C VIRUS - GENOTYPING,2ml.(1ml. Minimum)EDTA Plasma,Refrigerated(2-8°C),,Real Time PCR,4.30 PM,5th Working Day,5500,8500,64.7%
455,P003,HEPATITIS C VIRUS - VIRAL LOAD (QUANTITATIVE),"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,2nd Working Day,2400,5500,43.6%
456,S121,HEPATITIS C VIRUS (HCV Antibody)-IgG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,600,1500,40.0%
457,S051,HEPATITIS C VIRUS (HCV Antibody)-IgM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,600,1500,40.0%
458,P004,HEPATITIS C VIRUS-QUALITATIVE,"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,2nd Working Day,1450,2850,50.9%
459,S039,HEPATITIS CORE ANTIBODY IgM (Anti HBc-IgM),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,350,850,41.2%
460,S040,"HEPATITIS CORE ANTIBODY TOTAL
(HBcAb-Total)",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,350,850,41.2%
461,S166,HEPATITIS DELTA VIRUS - IgM (HDV IgM)ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,5th Working Day,2050,3050,67.2%
462,S041,HEPATITIS E VIRUS - IGG (HEV IGG),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),5.30 PM,Same Day,600,1500,40.0%
463,S042,HEPATITIS E VIRUS - IGM (HEV IGM),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),5.30 PM,Same Day,600,1500,40.0%
464,S044,HERPES SIMPLEX VIRUS 1 & 2 IgG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),5.30 PM,Same Day,230,1050,21.9%
465,S043,HERPES SIMPLEX VIRUS 1 & 2 IgM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),5.30 PM,Same Day,230,1050,21.9%
466,S045,HERPES SIMPLEX VIRUS 1 IgG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),5.30 PM,Same Day,115,550,20.9%
467,S046,HERPES SIMPLEX VIRUS 1 IgM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),5.30 PM,Same Day,115,550,20.9%
468,S047,HERPES SIMPLEX VIRUS 2 IgG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),5.30 PM,Same Day,115,550,20.9%
